A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_1	1	0.0189666132280136	0.029116881382424	0.0302849319974851	0.0133058768892275	0.00574815632293183	0.00618704111952619	0.00834727831596109	0.00225088738325147	0.00192718302442082	0	-0.00122239939359762	-0.0117081340626819	-0.0090514056117292	-0.01497512128783	-0.00710720702666862	-0.00533363365594924	-0.00287461917502453	-0.00295173994175883	0.000792309986213969	0	0.0107922242561348	0.0127135241402557	0.00438823469613249	0.00472958960871741	0.00581874122568221	-0.000684382904578786	-0.00281472958249761	-0.00366115393876628	0.000517018961436877	-0.83480208981677	0.0518657315324999	0.00131253596797244	-0.00730360299956769	0.00485913359278746	-0.00114140687414023	-0.00207106925788606	0.00125341104891066	0.00291744123705611	-0.000959748944314241
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_10	1	0.0249508610714937	0.0343399633186138	0.0249807150198647	0.0120663227986879	0.0185477994904036	0.00737672023610708	0.004590934566844	0.00576251071344294	0.00323715307961275	0	0.0117252246169981	-0.00219232638341999	0.00510891816744129	0.0230104315222071	0.00781789555450963	0.010934152923717	0.00173585670096016	0.00139866222264868	-0.00631175199713094	0	0.004869626965149	-0.0170467231068243	-0.0118278602056571	-0.00210596635144149	0.00147609201854602	0.00875110136916814	0.00440287815510209	0.00316073261568674	0.00375584465222301	-0.84531955032318	0.066941527944816	0.00686440841537717	0.00010253566494362	-0.000919909777321594	-0.00348608645948687	0.00096307161913141	-0.00279451625843043	0.000363866880785595	0.00328535429762728
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_11	1	0.0156226514932977	0.0446506002958833	0.00382579400297569	0.00415986506600534	0.00665021876128855	0.00402652938821251	0.000161878018763598	-0.000671286949517743	-0.00353217785788291	0	0.00335673245742421	-0.00219048687138554	-0.016088457611306	-0.00349123941404806	-0.00933990315519698	-0.00185345861847577	-0.00929024686486282	-0.000448383673204728	-0.00477465418009971	0	0.0261764940763382	-0.00425355578786722	0.00472220929657522	0.00519405522045801	0.00433721396013574	-0.00561667864327502	-0.00193663412121888	0.0016744560752747	0.000409518875533029	-0.797239881186356	0.0329069052899287	-0.0114269191936703	-0.00524559505069533	-0.00158644660043814	0.00547953889679471	0.000186370582360654	-0.00499392589482446	0.000586375791279089	-0.00417216222352856
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_12	1	0.0321637537706339	0.0377080324282075	0.0230689081518868	0.0135891771546522	0.0150033476248488	0.00379692348427623	0.0122857651666347	0.000269940494645841	0.00335022824817329	0	0.0117696642840215	-0.00538492113856058	0.0125535716112502	0.0181945013220965	-0.0038700303356074	0.0120770128042873	-0.00216852026417907	0.00870368555901113	0.000328600083959011	0	-0.0305949378503362	-0.0198961955521004	0.00453418980417277	-0.00499381962991672	0.00212510259889887	0.00130984290891814	-0.00360602961779227	0.00438544543895606	-0.000535162289199157	-0.757726891095776	0.0255301378325015	-0.00110232149523957	-0.0058208594646476	0.0014877758480118	0.00763655534460131	-0.000492231413194505	-0.00888093921094564	0.00229157535634288	-0.000574722385470037
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_13	1	0.010814174619578	0.043511398851816	0.0117882675412989	0.0107676785846405	0.00256640518032362	0.00695220936911055	0.00673250771750699	0.00239935070735775	0.000647382144700224	0	-0.0132612765489334	0.00272300025323908	-0.0098322078678491	0.00512077596160596	-0.00988536577245735	-0.00348407292796063	-0.002856847487887	-0.00740945906834877	0.00178769874181799	0	0.00933084145314116	-0.00315286276584126	0.00580276991005067	0.00167283560232669	0.00189958827900429	0.00666340585288936	-0.00789761756978573	0.00138216393200958	0.00234273284796289	-0.830130477651525	0.0323049952086809	-0.00303762988529609	-0.00795639794231135	-0.00311332745148535	0.00300718754929088	-0.00328450288449585	-0.00327716943552296	3.93897512309097e-05	-0.00143313651302011
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_14	1	0.0245173198330152	0.0321521441641228	0.0152815013864111	0.0111324930355794	0.00966151856142108	0.00635167755271672	0.00580235282899565	0.00554764708132594	0.00134426351006311	0	-0.00399940272192323	-0.00411600118587527	-0.000321803075178397	-0.00385866676302968	-0.00809138027470154	-0.002034274011601	-0.00586562180424353	-0.00273366686494035	-0.00146470733644817	0	-0.000337129224881726	-0.0029129205522492	-0.000553244102050319	0.00435182133365285	0.0044232976519815	-0.003129436731323	0.000569717503329808	0.00506647339767434	-0.00456945127302648	-0.85705520983755	0.0424255297816464	0.00586835844582496	-0.00546079083251415	-0.000876715972689127	0.00367625140165725	0.00369287271894679	-0.00301859903765853	0.00153180488955413	0.00126855131449982
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_15	1	0.0227682643417322	0.0395845666998527	0.0203883380538707	0.0043108874768628	0.0103266987274296	0.00677635541642465	0.00491370770140491	0.00682208255574425	-0.000625191724174995	0	0.0125125737984717	-0.0127508341298803	-0.00524250568371583	-0.00923131538034692	-0.000344649612443674	-0.00366892681395739	-0.0016095883331495	-0.000623732547846532	-0.00252315008648696	0	0.0105499707008865	0.0164140602517785	-0.00544001631128039	0.0002699789063431	0.00365804807664296	-0.00329711186216222	0.000109848048594276	0.00361154007107738	-0.00148531556461194	-0.766233541516168	0.0417626533986246	-0.0134614047281389	-0.0070315408556049	0.00263840647390664	0.000510360794840139	0.00420789662996863	-0.00128116687729718	0.00270159139773871	0.00014723301034669
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_16	1	0.0185008279278852	0.0243705446980318	0.0236861621668427	0.00589503206275223	0.00576975891054648	0.0011263908378153	0.00433767244301321	0.00163668475741195	0.0016716773667942	0	0.0123757295166481	-0.00521093900511717	0.00629855586605631	0.0081637559425021	0.00228213694053914	-5.17104120326014e-05	0.0049873873904398	0.000854396061002882	0.00445880304682475	0	-0.014525945281261	0.000211765725049696	0.00555713458752336	-0.00690246378324688	0.00169247818823762	0.00688587224749518	-0.00344303376045263	-0.000720891482418045	0.00224471407062222	-0.860581265045365	0.048414771950679	-0.0164525096192959	0.00235006851081331	0.00232608320859794	-0.00524422771121358	-0.00344811591107753	0.00232642817411827	-0.000309304010850468	-0.00207444871097752
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_17	1	0.0194924625761197	0.0596259054522268	0.0188667944982109	0.0071777660012088	0.0109364733687936	0.0077098673783659	0.00520548623144387	0.00893237725273731	0.00196320559467374	0	0.00710777684406729	0.0111945302221718	-0.00379303766848207	0.00111521111343128	-0.000772224147906726	-0.000579925470032875	-0.00159442481824464	0.00098480091615409	-0.00100190041514659	0	-0.00263936318546198	-0.00785582933642473	0.00494886695347936	0.0010179981246668	0.00139146970438756	0.00575111515613463	-0.00026285483482064	-0.00296488114892243	0.00315849533206022	-0.760987708218776	0.0417032286478057	-0.0150049542275758	0.00255845627409214	0.00311103998877902	-0.000828950496554223	0.0068431148756555	-0.00434268665304263	0.00371010942484664	0.00236502776132583
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_18	1	0.0145046867132092	0.0418547911160129	0.0201192527327135	0.010090747454169	0.00960318543282786	0.00747896258532301	0.0104616350139055	0.00212658264551238	0.00600270497244723	0	0.00287529772735861	-0.0156227360904748	0.00153990993035764	0.00224646824005706	-0.00220227030682563	-0.00545397955724108	0.00179829755689982	-0.00344477832947353	0.00230045078940092	0	0.00558319263889413	0.00554858376198444	-0.000301812684886064	-0.00285160076107932	-0.000216712260687653	0.0039419034333214	-0.00489633736578369	-0.000356419473048362	-0.000211316090458069	-0.765579685260476	0.0504904492512694	-0.0244860109497646	0.00784894387027271	0.0031463474738989	-0.00141535878205005	0.000350089089006448	0.00295686949081756	-0.00338216946324761	-0.000776150346852506
