PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_1	-0.0833667006737984	-0.0141509050406384	-0.0323493255187828	0.00484274769169021	0.0075435703971485	-0.0182448083798161	-0.00567160253856137	0.00767863887114533	0.00768285099290338	-0.00126467213533904	-0.00379007233346754	-0.000855881004736392	-0.00674885577891321	0.00258642139420542	0.00819698831457794	0.000582732398879101	0.00135176493886649	-0.00482249501644291	-0.00752871487620406	-0.000622016001034986	0.000806072156960924	-0.000938613068475816	0.00469146662565249	-0.00409114751542886	0.000741233509869122	-0.00237578743334341	0.00114296385230368	0.00217005194400088	-0.00155285047266769	-0.00468311205337642	-0.000633189940593454	-0.00251226228001831	0.00277191537457858	-0.000735778279961294	0.000100689992274867	-0.000158639380148785	0.000829502252640761	2.05055033037244e-17	-2.2489440212309e-17	-7.12263302793954e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_10	-0.0901737191181722	0.019095198182035	-0.0497394243714534	-0.022827849583436	0.0122465475751745	0.00144133953927036	0.00474655612348819	-0.016152518881441	-0.000722308363040909	-0.00114712722657894	0.0181080652504521	-0.00282324570537621	0.00668706916701902	0.00212726476505681	-0.0033237754567115	0.00598358929825286	-0.00152864497388517	0.003859895449741	8.63276413302308e-05	0.00505713625904911	-0.00149000682914529	0.00372127681925816	-0.00871682892907651	-0.00109400747050539	-0.00159969225959139	-0.0023243759394621	-0.00516193998980572	-0.0033210688229089	-0.00271308110291153	4.5946525554258e-05	-0.00148654155116861	0.00196946779102635	0.00243495037352395	0.00109902538711528	-0.000309601134605985	-0.00239450456693162	-0.00142970823374313	2.68421462943542e-18	-7.4662164935467e-18	-1.56393507198014e-17
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_11	-0.0478540367288786	-0.0237100065120025	0.0014549690210565	-0.00977654188399555	0.0200266064628603	0.00464340672857947	0.00212399399913771	0.00676149464645363	-0.00384007251958053	0.00210376083837567	0.00264226522857474	0.000146086978428927	0.00509878956495402	-0.00686079155154625	0.0108188067081394	-0.00493390059033721	-0.00311104788972704	-0.000106446300225308	0.00179090522715126	0.000300096923097832	0.00199275670011622	0.00425697681540675	0.00071395919114819	0.00150385531118225	-0.000893556486123419	0.000317188414608241	0.00364079390082471	-0.00137399128937485	0.000406771239946856	0.00092163290407176	0.000158526919174869	7.30550100449885e-05	-0.000459438135266375	0.00101048537722618	-0.00120909591378899	-0.0017262420786966	0.00032347004624513	-7.47431045871962e-17	-2.67376289433204e-19	-4.49517647433349e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_12	-0.00820174154705593	0.0425107879754795	-0.0031480111304421	-0.0134675620124118	0.00753542624989659	0.012626411424721	-0.0130840530691871	0.00200801827939107	0.0278741162293929	-0.0103058513881933	0.0174537666809901	0.000408923937911714	-0.00779522837750273	-0.00218293768235881	0.00378987862018109	-0.000939946148885719	-0.00567929438201376	-5.82309101747002e-05	0.00201655961410324	0.00335408747937857	0.0061369322608343	0.00585167477999818	-0.000452279756303711	0.00062491381309192	-0.00124316536155848	0.00123891177733518	0.00133686628674357	0.00254019967106821	-0.00170631782377305	-0.00143796654541911	0.0008669767884175	0.000395731487507033	0.00122865901306835	-0.00373616834943496	0.000755619206276334	0.00087950817333142	0.00131686839207498	-6.87277640770623e-17	7.16628017198239e-18	-2.17226292689023e-19
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_13	-0.07926893680699	-0.0114295946608716	-0.00625203427804309	-0.0206122750073044	0.00202234788579053	0.0011260116166572	-0.00292012002472393	0.0148092371704275	-0.00022063242919922	-0.000544448451061687	0.00269452399887197	0.000328102637398962	0.00198251490878093	0.0117042053903579	-0.00192731379247018	-0.00112276142731424	-0.00140705742037633	-0.00478041812490202	-0.00280334966194542	-0.000864080130730784	0.0035221298569614	0.00506506421012608	0.00758541731804344	-0.00406462016058517	-0.00190533571524572	-0.00129031582746863	0.00316718436618398	-0.00198753905687535	-0.00194432677846242	-3.40002904869146e-05	-0.00169037645319486	0.00228066165807002	0.00176338749375294	-0.000628179255844038	0.00216297709596877	-5.43311269180926e-05	0.000668883168970861	-4.41636507408318e-17	-5.55659610830888e-18	-6.47476730011113e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_14	-0.105700886345177	0.00258635878669875	-0.0257613072075417	-0.0127068093544946	0.00492280757183492	-0.00498211383987977	-0.0102724019021143	0.0100686878195404	0.00746227791721905	0.00143910293220702	-0.000527460760756903	-0.000634280967621268	0.00224655192961501	-0.00301163222345028	0.0076196158288209	0.00389970551438383	0.0016294235171541	-0.00363865432745622	0.00419455423432977	0.00350517798670869	0.00304118127014238	0.00421909562111394	0.00151476083516506	-0.00194987638702582	-0.00310062148215641	0.00596726986676793	-4.67162319615002e-05	-0.000880209981289022	0.00205025774476732	0.000344251643413348	6.05907612779383e-05	-0.00167395559080341	-0.000342503259985129	-0.00148967116730172	0.00159490727260593	-0.000330505428194259	0.000715102471552051	-1.5246974018859e-17	-8.6752522805386e-18	-1.19821538213766e-17
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_15	-0.0163605482972272	-0.00884913543019202	-0.0104027649402822	0.0158628939861204	0.0143237892244747	-0.00918123523328521	-0.0114817787421881	-0.00549595820761876	0.00245213379566835	0.00582253411195068	0.00213980764819468	0.00170412006275127	-0.00158066219559501	-0.00870772582967353	0.00205528807321156	0.00194870110643248	-0.000694258557084361	-7.51080698159302e-06	-0.00531837628222627	0.00282003926357372	0.00171856505098522	0.00329518254247745	-0.000574129997092046	-0.000587414022448682	-0.00408723907158887	0.00080821007970355	0.00161172492642529	-0.00100453587353944	-0.000473810737421722	-0.0014437934687281	-0.00184962632519283	-0.00228478112581667	-0.000540707687338458	0.000156793801478234	0.00227470324177204	-0.00175233869904491	-0.000810922899148362	-6.36169075681572e-17	-9.09946307744868e-18	-3.14081484321494e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_16	-0.108581599116101	0.0269960727642098	-0.0236882955407383	0.00742014697342434	0.00267564381330511	-0.00687112255120051	0.00899856160856661	0.00203439853599095	0.000489311496990997	0.000654665501558191	0.0112816720951428	0.000806445109012168	-0.00570046269011137	0.00804210215840759	-0.00553661666712105	-0.00297997689553657	0.00116604775857555	0.00449187017726047	-0.000842263037311647	-0.00135607730240962	-0.000913738003811935	-0.00258056046370101	0.00249461777068444	-0.00361704336601962	0.00184062078960138	-0.00262394227717684	0.00330630171918544	0.000464838424055526	0.000170780269022726	-0.00121818620558076	-0.00103295432551455	-0.00128540955408019	-0.000423482543735572	0.000793675870784934	0.00128320434180435	0.000532673700685432	0.000788664150683629	-3.56519650249519e-17	-2.34631408863591e-17	-1.92480286271429e-17
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_17	-0.00678549036926126	0.00925861428033766	-0.00894618194972354	-0.0105143723580919	0.0130459930122299	0.0106868530787783	0.0014003179768154	0.00666067987013535	0.0013817867898096	0.017692154002565	-0.000696317124329782	0.00239594388162886	0.00177776324916929	0.00211640943848508	-0.00320487355755692	0.00217316835239303	0.00163727847658093	0.00108721902544802	-0.0039550921569225	-0.00154750270105975	-0.00381135327710737	0.00303354172915932	0.0022988810600279	-0.00287772726883939	0.00224931870668776	-0.00416954026223655	-0.000978882259853518	0.00426830908031136	-0.00116165164822251	-0.00147171636851811	0.00101469204370404	8.15433197080359e-05	-0.000152794349323986	-0.00174251192767567	0.00191823307133415	0.00054613956667988	0.000760026156188353	-8.10355890792134e-17	6.78019642391482e-19	1.64434217628681e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_18	-0.0129949540932037	-0.00221752869634423	-0.013470604126254	0.00924430010285934	-0.00274313254920318	-0.00918791558443339	0.00509417981743117	-0.00430895835185874	3.20176079406086e-05	0.00911866318753983	0.0151639163930398	0.00650067790395762	-0.00372628589311361	0.00640639315247525	0.000229947917462072	-0.00161376832285094	0.000942708145695098	-0.000695607853630414	-0.000135649040906994	-0.00122781407058649	0.00128076010664955	-0.00245136899312088	0.00452749808208114	0.00225331387833186	0.00183379914844965	0.00160278889378369	0.00141173734288832	-0.00265947391128448	0.000484392127594535	0.000951414873391726	0.000504216926412241	-7.14876478413326e-05	0.000783810053564216	-0.00205609525318747	0.000442491671773271	-0.000856314760982993	0.000423913852256463	3.59831887994825e-17	-6.05898298662177e-18	5.46251261463857e-20
